id,name,price,specifications,number of reviews
1,Packard 255 G2,"$416.99
Packard 255 G2
15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1","15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 
2,Aspire E1-510,"$306.99
Aspire E1-510
15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux","15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 
3,ThinkPad T540p,"$1178.99
ThinkPad T540p
15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit","15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 
4,ProBook,"$739.99
ProBook
14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit","14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 
5,ThinkPad X240,"$1311.99
ThinkPad X240
12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit","12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",12
6,Aspire E1-572G,"$581.99
Aspire E1-572G
15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1","15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2 
7,ThinkPad Yoga,"$1033.99
ThinkPad Yoga
12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,","12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13
8,Pavilion,"$609.99
Pavilion
15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1","15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 
9,Inspiron 15,"$745.99
Inspiron 15
Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,","Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",12
10,Dell XPS 13,"$1281.99
Dell XPS 13
13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1","13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4 
11,ThinkPad X230,"$1244.99
ThinkPad X230
12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit","12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10
12,HP 250 G3,"$520.99
HP 250 G3
15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1","15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",13
13,ThinkPad Yoga,"$1223.99
ThinkPad Yoga
12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows","12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2 
14,HP 350 G1,"$577.99
HP 350 G1
15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows","15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10
15,Asus VivoBook Max,"$399.00
Asus VivoBook Ma...
Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home","Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 
16,Dell Vostro 15,"$488.78
Dell Vostro 15
Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux","Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14
17,Acer Spin 5,"$564.98
Acer Spin 5
Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home","Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 
18,Acer Aspire A515-51-5654,"$679.00
Acer Aspire A515...
Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG","Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",9 
19,Dell Inspiron 15,"$679.00
Dell Inspiron 15
Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux","Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",7 
20,Asus VivoBook S14,"$729.00
Asus VivoBook S1...
Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd","Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 
21,Asus ROG STRIX GL553VD-DM256,"$799.00
Asus ROG STRIX G...
Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS","Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 
22,Acer Nitro 5 AN515-51,"$809.00
Acer Nitro 5 AN5...
Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home","Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 
23,Asus ROG STRIX GL553VD-DM256,"$899.00
Asus ROG STRIX G...
Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home","Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",7 
24,Lenovo ThinkPad L570,"$999.00
Lenovo ThinkPad...
Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro","Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11
25,Lenovo Legion Y520-15IKBM,"$1149.00
Lenovo Legion Y5...
Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS","Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11
26,Lenovo Legion Y720,"$1399.00
Lenovo Legion Y7...
Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard","Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",8 
27,Asus ROG Strix GL702ZC-GC154T,"$1769.00
Asus ROG Strix G...
Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home","Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",7 
28,Asus ROG Strix GL702ZC-GC209T,"$1769.00
Asus ROG Strix G...
Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home","Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",8 
29,Asus ROG Strix SCAR Edition GL503VM-ED115T,"$1799.00
Asus ROG Strix S...
Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home","Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",8 
30,Asus VivoBook X441NA-GA190,"$295.99
Asus VivoBook X4...
Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd","Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14
31,Prestigio SmartBook 133S Dark Grey,"$299.00
Prestigio SmartB...
Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam","Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",8 
